sample1	sample2	Gene Abundance	Group	sample1	sample2	Genus Abundance	Group	sample1	sample2	Kos Abundance	Group
WFHCeC16L	WHYCeC2R	0.822785124	Mallards	WFHCeC16L	WHYCeC2R	0.385505986	Mallards	WFHCeC16L	WHYCeC2R	0.108997682	Mallards
WFHCeC21L	WHYCeC2R	0.655453624	Mallards	WFHCeC21L	WHYCeC2R	0.232492868	Mallards	WFHCeC21L	WHYCeC2R	0.07326134	Mallards
WFHCeC22L	WHYCeC2R	0.735105524	Mallards	WFHCeC22L	WHYCeC2R	0.286885194	Mallards	WFHCeC22L	WHYCeC2R	0.086158595	Mallards
WFHCeC23L	WHYCeC2R	0.632514912	Mallards	WFHCeC23L	WHYCeC2R	0.241099596	Mallards	WFHCeC23L	WHYCeC2R	0.076862475	Mallards
WFHCeC24L	WHYCeC2R	0.881230744	Mallards	WFHCeC24L	WHYCeC2R	0.384113811	Mallards	WFHCeC24L	WHYCeC2R	0.10717083	Mallards
WFHCeC25L	WHYCeC2R	0.741023875	Mallards	WFHCeC25L	WHYCeC2R	0.265665397	Mallards	WFHCeC25L	WHYCeC2R	0.073146248	Mallards
WHYCeC1R	WHYCeC3R	0.538210482	Mallards	WHYCeC1R	WHYCeC3R	0.163381404	Mallards	WHYCeC1R	WHYCeC3R	0.048823765	Mallards
WHYCeC2R	WHYCeC3R	0.477720705	Mallards	WHYCeC2R	WHYCeC3R	0.190975505	Mallards	WHYCeC2R	WHYCeC3R	0.045951345	Mallards
WHYCeC4R	WHYCeC3R	0.520553088	Mallards	WHYCeC4R	WHYCeC3R	0.264822666	Mallards	WHYCeC4R	WHYCeC3R	0.108215719	Mallards
WHYCeC5R	WHYCeC3R	0.513849947	Mallards	WHYCeC5R	WHYCeC3R	0.269348602	Mallards	WHYCeC5R	WHYCeC3R	0.071984807	Mallards
WHYCeC6R	WHYCeC3R	0.492799287	Mallards	WHYCeC6R	WHYCeC3R	0.260748859	Mallards	WHYCeC6R	WHYCeC3R	0.068612601	Mallards
WHYCeC7R	WHYCeC3R	0.574161927	Mallards	WHYCeC7R	WHYCeC3R	0.293771844	Mallards	WHYCeC7R	WHYCeC3R	0.06497296	Mallards
WHYCeC6L	WHYCeC3R	0.536066562	Mallards	WHYCeC6L	WHYCeC3R	0.287866476	Mallards	WHYCeC6L	WHYCeC3R	0.094135185	Mallards
WHYCeC8	WHYCeC3R	0.903200419	Mallards	WHYCeC8	WHYCeC3R	0.474134018	Mallards	WHYCeC8	WHYCeC3R	0.1973158	Mallards
WNCeC1L	WHYCeC3R	0.774603909	Mallards	WNCeC1L	WHYCeC3R	0.361919843	Mallards	WNCeC1L	WHYCeC3R	0.117787546	Mallards
WNCeC2L	WHYCeC3R	0.86504759	Mallards	WNCeC2L	WHYCeC3R	0.405384306	Mallards	WNCeC2L	WHYCeC3R	0.135572397	Mallards
WNFCeC1L	WHYCeC3R	0.778671756	Mallards	WNFCeC1L	WHYCeC3R	0.332427469	Mallards	WNFCeC1L	WHYCeC3R	0.111693536	Mallards
WNFCeC2L	WHYCeC3R	0.939164976	Mallards	WNFCeC2L	WHYCeC3R	0.686426675	Mallards	WNFCeC2L	WHYCeC3R	0.33102258	Mallards
WNFCeC3L	WHYCeC3R	0.750960989	Mallards	WNFCeC3L	WHYCeC3R	0.34793136	Mallards	WNFCeC3L	WHYCeC3R	0.109783047	Mallards
WNFCeC4L	WHYCeC3R	0.733607445	Mallards	WNFCeC4L	WHYCeC3R	0.26937636	Mallards	WNFCeC4L	WHYCeC3R	0.109775616	Mallards
WFHCeC1L	WHYCeC3R	0.568151716	Mallards	WFHCeC1L	WHYCeC3R	0.230721173	Mallards	WFHCeC1L	WHYCeC3R	0.06149671	Mallards
WFHCeC2L	WHYCeC3R	0.736723914	Mallards	WFHCeC2L	WHYCeC3R	0.291641619	Mallards	WFHCeC2L	WHYCeC3R	0.085644519	Mallards
WFHCeC3L	WHYCeC3R	0.616043954	Mallards	WFHCeC3L	WHYCeC3R	0.250174423	Mallards	WFHCeC3L	WHYCeC3R	0.072741729	Mallards
WFHCeC4L	WHYCeC3R	0.498382286	Mallards	WFHCeC4L	WHYCeC3R	0.176840075	Mallards	WFHCeC4L	WHYCeC3R	0.051233222	Mallards
WFHCeC6L	WHYCeC3R	0.528215628	Mallards	WFHCeC6L	WHYCeC3R	0.17964922	Mallards	WFHCeC6L	WHYCeC3R	0.057822108	Mallards
WFHCeC11L	WHYCeC3R	0.546340301	Mallards	WFHCeC11L	WHYCeC3R	0.173329318	Mallards	WFHCeC11L	WHYCeC3R	0.0601692	Mallards
WFHCeC12L	WHYCeC3R	0.549101166	Mallards	WFHCeC12L	WHYCeC3R	0.197070339	Mallards	WFHCeC12L	WHYCeC3R	0.05432645	Mallards
WFHCeC13L	WHYCeC3R	0.588379613	Mallards	WFHCeC13L	WHYCeC3R	0.222969715	Mallards	WFHCeC13L	WHYCeC3R	0.064442187	Mallards
WFHCeC14L	WHYCeC3R	0.775124565	Mallards	WFHCeC14L	WHYCeC3R	0.295712828	Mallards	WFHCeC14L	WHYCeC3R	0.088457279	Mallards
WFHCeC16L	WHYCeC3R	0.792596877	Mallards	WFHCeC16L	WHYCeC3R	0.327937272	Mallards	WFHCeC16L	WHYCeC3R	0.099510156	Mallards
WFHCeC21L	WHYCeC3R	0.655575102	Mallards	WFHCeC21L	WHYCeC3R	0.251575423	Mallards	WFHCeC21L	WHYCeC3R	0.071027973	Mallards
WFHCeC22L	WHYCeC3R	0.711698002	Mallards	WFHCeC22L	WHYCeC3R	0.25645445	Mallards	WFHCeC22L	WHYCeC3R	0.081218778	Mallards
WFHCeC23L	WHYCeC3R	0.606314091	Mallards	WFHCeC23L	WHYCeC3R	0.243557226	Mallards	WFHCeC23L	WHYCeC3R	0.068167912	Mallards
WFHCeC24L	WHYCeC3R	0.856269836	Mallards	WFHCeC24L	WHYCeC3R	0.35311383	Mallards	WFHCeC24L	WHYCeC3R	0.105467399	Mallards
WFHCeC25L	WHYCeC3R	0.716596434	Mallards	WFHCeC25L	WHYCeC3R	0.26047614	Mallards	WFHCeC25L	WHYCeC3R	0.075618617	Mallards
WHYCeC1R	WHYCeC4R	0.667227355	Mallards	WHYCeC1R	WHYCeC4R	0.315141041	Mallards	WHYCeC1R	WHYCeC4R	0.115720979	Mallards
WHYCeC2R	WHYCeC4R	0.443906565	Mallards	WHYCeC2R	WHYCeC4R	0.247127713	Mallards	WHYCeC2R	WHYCeC4R	0.12085725	Mallards
WHYCeC3R	WHYCeC4R	0.520553088	Mallards	WHYCeC3R	WHYCeC4R	0.264822666	Mallards	WHYCeC3R	WHYCeC4R	0.108215719	Mallards
WHYCeC5R	WHYCeC4R	0.486925522	Mallards	WHYCeC5R	WHYCeC4R	0.277168514	Mallards	WHYCeC5R	WHYCeC4R	0.120289674	Mallards
WHYCeC6R	WHYCeC4R	0.424071204	Mallards	WHYCeC6R	WHYCeC4R	0.249987019	Mallards	WHYCeC6R	WHYCeC4R	0.112721218	Mallards
WHYCeC7R	WHYCeC4R	0.47102723	Mallards	WHYCeC7R	WHYCeC4R	0.234886062	Mallards	WHYCeC7R	WHYCeC4R	0.089198698	Mallards
WHYCeC6L	WHYCeC4R	0.497339821	Mallards	WHYCeC6L	WHYCeC4R	0.292530122	Mallards	WHYCeC6L	WHYCeC4R	0.143612158	Mallards
WHYCeC8	WHYCeC4R	0.893127778	Mallards	WHYCeC8	WHYCeC4R	0.439647211	Mallards	WHYCeC8	WHYCeC4R	0.213209567	Mallards
WNCeC1L	WHYCeC4R	0.788199184	Mallards	WNCeC1L	WHYCeC4R	0.393740645	Mallards	WNCeC1L	WHYCeC4R	0.164752577	Mallards
WNCeC2L	WHYCeC4R	0.888115489	Mallards	WNCeC2L	WHYCeC4R	0.493579645	Mallards	WNCeC2L	WHYCeC4R	0.182649199	Mallards
WNFCeC1L	WHYCeC4R	0.770148898	Mallards	WNFCeC1L	WHYCeC4R	0.368511434	Mallards	WNFCeC1L	WHYCeC4R	0.178939541	Mallards
WNFCeC2L	WHYCeC4R	0.930636795	Mallards	WNFCeC2L	WHYCeC4R	0.67110485	Mallards	WNFCeC2L	WHYCeC4R	0.342154155	Mallards
WNFCeC3L	WHYCeC4R	0.644853676	Mallards	WNFCeC3L	WHYCeC4R	0.264461817	Mallards	WNFCeC3L	WHYCeC4R	0.103797558	Mallards
WNFCeC4L	WHYCeC4R	0.809921823	Mallards	WNFCeC4L	WHYCeC4R	0.361479658	Mallards	WNFCeC4L	WHYCeC4R	0.168916514	Mallards
