Sample	Group	Genes Abundance	Genus Abundance	Kos Abundance
HBCeC2	Peking ducks	19.10021138	5.976867177	9.983422634
HBCeC3	Peking ducks	19.16156422	5.966254734	9.977447791
HBCeC4	Peking ducks	18.61405479	5.528556577	9.873845054
HBCeC5	Peking ducks	18.75047635	5.565934592	9.904800936
HBCeC6	Peking ducks	18.9306956	5.560049911	9.896112116
PD70d_CeC1	Peking ducks	19.22568242	5.550468158	9.816650041
PD70d_CeC2	Peking ducks	19.14669321	5.522514546	9.817647267
PD70d_CeC3	Peking ducks	19.16001321	5.396272961	9.822573124
PD70d_CeC4	Peking ducks	19.18345962	5.492782344	9.835102935
PD70d_CeC5	Peking ducks	19.2493762	5.552709482	9.816401382
PD70d_CeC6	Peking ducks	19.1836084	5.512054634	9.815330077
PD70d_CeC7	Peking ducks	19.13043485	5.394009708	9.823591622
PD70d_CeC8	Peking ducks	19.18687522	5.478625226	9.833946364
CeC105	Muscovy ducks	19.19928435	6.043180028	9.877097422
CeC166	Muscovy ducks	19.95079146	5.835766674	9.846220453
CeC192	Muscovy ducks	19.86913508	5.450200622	9.884542795
CeC198	Muscovy ducks	18.2831175	5.463902811	9.875642031
CeC28	Muscovy ducks	19.21900726	5.956018603	9.889193721
CeC38	Muscovy ducks	19.87512485	6.084362842	9.898423257
CeC6	Muscovy ducks	19.81317098	6.235230501	9.850297492
CeC67	Muscovy ducks	19.7530624	6.075809626	9.864767788
CeC68	Muscovy ducks	19.15715531	6.093172831	9.872455609
CeC89	Muscovy ducks	19.8797448	6.158381859	9.884409126
SHCeC1	Muscovy ducks	20.24578534	6.01689891	9.840542534
SHCeC12	Muscovy ducks	20.29882621	5.788657846	9.832420137
SHCeC15	Muscovy ducks	20.29610191	5.978000061	9.805181633
SHCeC16	Muscovy ducks	20.83445899	5.998231359	9.818573037
SHCeC17	Muscovy ducks	20.22954436	5.750889031	9.773490374
SHCeC18	Muscovy ducks	20.12168529	5.902767551	9.793131272
SHCeC24	Muscovy ducks	20.28463069	5.896044546	9.821170776
SHCeC26	Muscovy ducks	20.72380305	5.994605683	9.818691197
SHCeC27	Muscovy ducks	20.59387807	5.891543977	9.82326172
SHCeC28	Muscovy ducks	20.17733839	5.731316926	9.837456265
SHCeC4	Muscovy ducks	20.60217535	6.012360992	9.801645297
SHCeC7	Muscovy ducks	19.74952086	5.667852671	9.785444541
MD70dCeC1	Muscovy ducks	18.91487521	5.246809923	9.849283221
MD70dCeC2	Muscovy ducks	18.80158072	5.240769648	9.913736466
MD70dCeC3	Muscovy ducks	18.2637591	5.453858045	9.878190553
MD70dCeC4	Muscovy ducks	18.8340044	5.251613308	9.892118664
MD70dCeC5	Muscovy ducks	18.95905345	5.271487394	9.850574118
MD70dCeC6	Muscovy ducks	18.20380282	5.446458509	9.873073628
WHYCeC1L	Muscovy ducks	19.73645717	4.169899484	9.658002481
WHYCeC2L	Muscovy ducks	19.55646396	4.332854562	9.711132786
WHYCeC3L	Muscovy ducks	20.54698874	5.204779906	9.741660373
WHYCeC4L	Muscovy ducks	18.91060562	3.726772202	9.626400984
WHYCeC5L	Muscovy ducks	18.69348931	3.576991831	9.671198345
WHYCeC7L	Muscovy ducks	19.19001012	4.112645178	9.703689389
CeC108	Muscovy ducks	19.19623545	6.189355736	9.894188899
CeC112	Muscovy ducks	18.80773386	5.931099645	9.882335036
CeC113	Muscovy ducks	18.74882955	5.778314841	9.834831132
CeC123	Muscovy ducks	18.45710137	6.141751062	9.882534913
CeC124	Muscovy ducks	16.7561905	5.505344391	9.861033402
CeC149	Muscovy ducks	19.58878742	6.16661875	9.892477722
CeC186	Muscovy ducks	19.19179552	5.628754122	9.855489159
CeC41	Muscovy ducks	19.22027227	6.049858614	9.907253309
CeC42	Muscovy ducks	18.9701426	6.069229852	9.925171462
CeC51	Muscovy ducks	19.38326092	6.047811197	9.889040982
CeC61	Muscovy ducks	19.41263867	6.12521641	9.885154256
CeC66	Muscovy ducks	18.07203664	4.989618599	9.823658008
CeC69	Muscovy ducks	18.87457696	6.189255963	9.872123188
CeC70	Muscovy ducks	17.21864271	5.969546966	9.830360193
CeC139	Muscovy ducks	19.6717789	6.053211379	9.890095848
CeC161	Muscovy ducks	19.49220264	6.343709492	9.845220556
CeC1	Muscovy ducks	19.31307801	6.103164472	9.862852903
CeC200	Muscovy ducks	19.6149706	5.893129746	9.91171096
CeC35	Muscovy ducks	19.49415392	5.969360706	9.84859606
CeC164	Muscovy ducks	19.798595	6.191577113	9.868790587
MD70d_CeC1	Muscovy ducks	19.1998296	5.490359098	9.880763191
MD70d_CeC2	Muscovy ducks	18.97796686	5.430839298	9.946011556
MD70d_CeC3	Muscovy ducks	18.31827779	5.58070421	9.899835984
MD70d_CeC4	Muscovy ducks	18.93812894	5.404362234	9.920177557
MD70d_CeC5	Muscovy ducks	19.25376758	5.48696075	9.879355295
MD70d_CeC6	Muscovy ducks	18.94213379	5.436897658	9.944940501
MD70d_CeC7	Muscovy ducks	18.33657513	5.607033031	9.895922
MD70d_CeC8	Muscovy ducks	18.93839048	5.406117888	9.923012797
