sample	gene Abundance	Group	sample	Genus Abundance	Group	sample	Kos Abundance	Group
JSCeC3	9.984781537	Duck	PD42d_CeC6	4.673450725	Duck	JSCeC3	9.984781537	Duck
JSCeC4	9.97370844	Duck	PD42d_CeC7	4.544544148	Duck	JSCeC4	9.97370844	Duck
JSCeC5	9.984109476	Duck	PD42d_CeC8	4.695325107	Duck	JSCeC5	9.984109476	Duck
JSCeC6	10.02760848	Duck	PD70dCeC1	5.506758671	Duck	JSCeC6	10.02760848	Duck
MD14d_CeC_1	9.792175229	Duck	PD70d_CeC1	5.550468158	Duck	MD14d_CeC_1	9.792175229	Duck
MD14d_CeC_2	9.811272803	Duck	PD70dCeC2	5.49602263	Duck	MD14d_CeC_2	9.811272803	Duck
MD14d_CeC_3	9.887230061	Duck	PD70d_CeC2	5.522514546	Duck	MD14d_CeC_3	9.887230061	Duck
MD14d_CeC_4	9.780813905	Duck	PD70dCeC3	5.284513826	Duck	MD14d_CeC_4	9.780813905	Duck
MD14d_CeC_5	9.813361703	Duck	PD70d_CeC3	5.396272961	Duck	MD14d_CeC_5	9.813361703	Duck
MD14d_CeC_6	9.792348345	Duck	PD70dCeC4	5.247096618	Duck	MD14d_CeC_6	9.792348345	Duck
MD14d_CeC_7	9.78392301	Duck	PD70d_CeC4	5.492782344	Duck	MD14d_CeC_7	9.78392301	Duck
MD14d_CeC_8	9.886624969	Duck	PD70dCeC5	5.482310482	Duck	MD14d_CeC_8	9.886624969	Duck
MD3d_CeC_1	10.59937308	Duck	PD70d_CeC5	5.552709482	Duck	MD3d_CeC_1	10.59937308	Duck
MD3d_CeC_2	10.5639719	Duck	PD70dCeC6	5.457737364	Duck	MD3d_CeC_2	10.5639719	Duck
MD3d_CeC_3	10.54865545	Duck	PD70d_CeC6	5.512054634	Duck	MD3d_CeC_3	10.54865545	Duck
MD3d_CeC_4	10.57045308	Duck	PD70d_CeC7	5.394009708	Duck	MD3d_CeC_4	10.57045308	Duck
MD3d_CeC_5	10.59891997	Duck	PD70d_CeC8	5.478625226	Duck	MD3d_CeC_5	10.59891997	Duck
MD3d_CeC_6	10.56178994	Duck	PD70dCoC1	5.557845472	Duck	MD3d_CeC_6	10.56178994	Duck
MD3d_CeC_7	10.54624156	Duck	PD70dCoC2	5.800756637	Duck	MD3d_CeC_7	10.54624156	Duck
MD3d_CeC_8	10.57109132	Duck	PD70dCoC3	5.594495962	Duck	MD3d_CeC_8	10.57109132	Duck
MD42d_CeC1	9.596159895	Duck	PD70dCoC4	5.715300068	Duck	MD42d_CeC1	9.596159895	Duck
MD42d_CeC2	9.512710872	Duck	PD70dCoC5	5.509380264	Duck	MD42d_CeC2	9.512710872	Duck
MD42d_CeC3	9.644637068	Duck	PD70dCoC6	5.777652931	Duck	MD42d_CeC3	9.644637068	Duck
MD42d_CeC4	9.681513852	Duck	PD70dduC1	6.151303411	Duck	MD42d_CeC4	9.681513852	Duck
MD42d_CeC5	9.703034485	Duck	PD70dduC2	6.248007967	Duck	MD42d_CeC5	9.703034485	Duck
MD42d_CeC6	9.696789142	Duck	PD70dduC3	6.524533376	Duck	MD42d_CeC6	9.696789142	Duck
MD42d_CeC7	9.68664297	Duck	PD70dduC4	6.272500241	Duck	MD42d_CeC7	9.68664297	Duck
MD42d_CeC8	9.654055017	Duck	PD70dduC5	6.187407622	Duck	MD42d_CeC8	9.654055017	Duck
MD70d_CeC1	9.880763191	Duck	PD70dduC6	6.254371763	Duck	MD70d_CeC1	9.880763191	Duck
MD70dCeC1	9.849283221	Duck	PD70dIlC1	4.348379003	Duck	MD70dCeC1	9.849283221	Duck
MD70d_CeC2	9.946011556	Duck	PD70dIlC2	4.597420637	Duck	MD70d_CeC2	9.946011556	Duck
MD70dCeC2	9.913736466	Duck	PD70dIlC3	3.797057039	Duck	MD70dCeC2	9.913736466	Duck
MD70d_CeC3	9.899835984	Duck	PD70dIlC4	3.637833168	Duck	MD70d_CeC3	9.899835984	Duck
MD70dCeC3	9.878190553	Duck	PD70dIlC5	4.183574841	Duck	MD70dCeC3	9.878190553	Duck
MD70d_CeC4	9.920177557	Duck	PD70dIlC6	5.097199827	Duck	MD70d_CeC4	9.920177557	Duck
MD70dCeC4	9.892118664	Duck	PD70djeC1	6.591560309	Duck	MD70dCeC4	9.892118664	Duck
MD70d_CeC5	9.879355295	Duck	PD70djeC2	5.330159981	Duck	MD70d_CeC5	9.879355295	Duck
MD70dCeC5	9.850574118	Duck	PD70djeC3	6.302565494	Duck	MD70dCeC5	9.850574118	Duck
MD70d_CeC6	9.944940501	Duck	PD70djeC4	6.506899919	Duck	MD70d_CeC6	9.944940501	Duck
MD70dCeC6	9.873073628	Duck	PD70djeC5	6.572707891	Duck	MD70dCeC6	9.873073628	Duck
MD70d_CeC7	9.895922	Duck	PD70djeC6	5.394661976	Duck	MD70d_CeC7	9.895922	Duck
MD70d_CeC8	9.923012797	Duck	PD7d_CeC_1	2.522984572	Duck	MD70d_CeC8	9.923012797	Duck
MD7d_CeC_1	10.63765059	Duck	PD7d_CeC_2	3.171612824	Duck	MD7d_CeC_1	10.63765059	Duck
MD7d_CeC_2	10.67455478	Duck	PD7d_CeC_3	3.03098662	Duck	MD7d_CeC_2	10.67455478	Duck
MD7d_CeC_3	10.57840541	Duck	PD7d_CeC_4	3.454623733	Duck	MD7d_CeC_3	10.57840541	Duck
MD7d_CeC_4	10.55542664	Duck	PD7d_CeC_5	4.0392217	Duck	MD7d_CeC_4	10.55542664	Duck
MD7d_CeC_5	10.54628701	Duck	PD7d_CeC_6	3.793681928	Duck	MD7d_CeC_5	10.54628701	Duck
MD7d_CeC_6	10.57805733	Duck	PD7d_CeC_7	2.964794356	Duck	MD7d_CeC_6	10.57805733	Duck
MD7d_CeC_7	10.67386005	Duck	PD7d_CeC_8	3.835161761	Duck	MD7d_CeC_7	10.67386005	Duck
MD7d_CeC_8	10.62784982	Duck	QDCoC1	5.9070333	Duck	MD7d_CeC_8	10.62784982	Duck
PD14d_CeC_1	9.870720891	Duck	QDCoC14	5.899453561	Duck	PD14d_CeC_1	9.870720891	Duck
