Sample1	Sample2	Gene Abundance	Group	sample1	sample2	Genus Abundance	Group	sample1	sample2	Kos Abundance	Group
WHYDuC6	MD70dduC4	0.990881599	Duodenum	WHYDuC6	MD70dduC4	0.908442301	Duodenum	WHYDuC6	MD70dduC4	0.968775384	Duodenum
WHYDuC7	MD70dduC4	0.991836344	Duodenum	WHYDuC7	MD70dduC4	0.926851866	Duodenum	WHYDuC7	MD70dduC4	0.975968967	Duodenum
WHYDuC8	MD70dduC4	0.992377731	Duodenum	WHYDuC8	MD70dduC4	0.947136198	Duodenum	WHYDuC8	MD70dduC4	0.985875164	Duodenum
MD70dduC1	MD70dduC5	0.131230959	Duodenum	MD70dduC1	MD70dduC5	0.107409865	Duodenum	MD70dduC1	MD70dduC5	0.637438368	Duodenum
MD70dduC2	MD70dduC5	0.176571748	Duodenum	MD70dduC2	MD70dduC5	0.199562397	Duodenum	MD70dduC2	MD70dduC5	0.772313453	Duodenum
MD70dduC3	MD70dduC5	0.170541889	Duodenum	MD70dduC3	MD70dduC5	0.323083339	Duodenum	MD70dduC3	MD70dduC5	0.896635011	Duodenum
MD70dduC4	MD70dduC5	0.186150798	Duodenum	MD70dduC4	MD70dduC5	0.271443449	Duodenum	MD70dduC4	MD70dduC5	0.847568945	Duodenum
MD70dduC7	MD70dduC5	0.169410776	Duodenum	MD70dduC7	MD70dduC5	0.154862508	Duodenum	MD70dduC7	MD70dduC5	0.669791709	Duodenum
PD70dduC1	MD70dduC5	0.99049282	Duodenum	PD70dduC1	MD70dduC5	0.828246376	Duodenum	PD70dduC1	MD70dduC5	0.99472875	Duodenum
PD70dduC2	MD70dduC5	0.98951462	Duodenum	PD70dduC2	MD70dduC5	0.644368115	Duodenum	PD70dduC2	MD70dduC5	0.95763164	Duodenum
PD70dduC3	MD70dduC5	0.990334757	Duodenum	PD70dduC3	MD70dduC5	0.750328287	Duodenum	PD70dduC3	MD70dduC5	0.982077599	Duodenum
PD70dduC4	MD70dduC5	0.989438676	Duodenum	PD70dduC4	MD70dduC5	0.697334376	Duodenum	PD70dduC4	MD70dduC5	0.978324393	Duodenum
PD70dduC5	MD70dduC5	0.990210882	Duodenum	PD70dduC5	MD70dduC5	0.803535427	Duodenum	PD70dduC5	MD70dduC5	0.99047123	Duodenum
PD70dduC6	MD70dduC5	0.990236129	Duodenum	PD70dduC6	MD70dduC5	0.640340457	Duodenum	PD70dduC6	MD70dduC5	0.970523121	Duodenum
SDQDuC1	MD70dduC5	0.99229582	Duodenum	SDQDuC1	MD70dduC5	0.972984431	Duodenum	SDQDuC1	MD70dduC5	0.996125698	Duodenum
SDQDuC2	MD70dduC5	0.9884581	Duodenum	SDQDuC2	MD70dduC5	0.958564718	Duodenum	SDQDuC2	MD70dduC5	0.996188691	Duodenum
