sample1	sample2	genes Abundance	Group	sample1	sample2	genus Abundance	Group	sample1	sample2	Kos Abundance	Group
SDQCeC10L	WHYCeC1R	0.705065218	WW	SDQCeC10L	WHYCeC1R	0.376795157	WW	SDQCeC10L	WHYCeC1R	0.099908465	WW
SDQCeC11L	WHYCeC1R	0.830488931	WW	SDQCeC11L	WHYCeC1R	0.330457026	WW	SDQCeC11L	WHYCeC1R	0.117519298	WW
FJCeC1	WHYCeC1R	0.789445553	WW	FJCeC1	WHYCeC1R	0.28765418	WW	FJCeC1	WHYCeC1R	0.08551297	WW
FJCeC2	WHYCeC1R	0.685192844	WW	FJCeC2	WHYCeC1R	0.245108207	WW	FJCeC2	WHYCeC1R	0.056664404	WW
FJCeC3	WHYCeC1R	0.719118752	WW	FJCeC3	WHYCeC1R	0.269525888	WW	FJCeC3	WHYCeC1R	0.066504647	WW
FJCeC4	WHYCeC1R	0.599879736	WW	FJCeC4	WHYCeC1R	0.21008307	WW	FJCeC4	WHYCeC1R	0.058083434	WW
FJCeC5	WHYCeC1R	0.710130069	WW	FJCeC5	WHYCeC1R	0.27963647	WW	FJCeC5	WHYCeC1R	0.086410393	WW
FJCeC6	WHYCeC1R	0.615303589	WW	FJCeC6	WHYCeC1R	0.199682417	WW	FJCeC6	WHYCeC1R	0.053167908	WW
HEBCeC-10	WHYCeC1R	0.886355161	WW	HEBCeC-10	WHYCeC1R	0.481010737	WW	HEBCeC-10	WHYCeC1R	0.322548358	WW
HEBCeC-15	WHYCeC1R	0.777567565	WW	HEBCeC-15	WHYCeC1R	0.375349772	WW	HEBCeC-15	WHYCeC1R	0.145822478	WW
HEBCeC-17	WHYCeC1R	0.758236066	WW	HEBCeC-17	WHYCeC1R	0.349445351	WW	HEBCeC-17	WHYCeC1R	0.100656313	WW
HEBCeC-18	WHYCeC1R	0.768632641	WW	HEBCeC-18	WHYCeC1R	0.278576483	WW	HEBCeC-18	WHYCeC1R	0.092576615	WW
HEBCeC-21	WHYCeC1R	0.775585943	WW	HEBCeC-21	WHYCeC1R	0.394334798	WW	HEBCeC-21	WHYCeC1R	0.136738428	WW
HEBCeC-22	WHYCeC1R	0.820641977	WW	HEBCeC-22	WHYCeC1R	0.323802792	WW	HEBCeC-22	WHYCeC1R	0.108699784	WW
HEBCeC-25	WHYCeC1R	0.741730384	WW	HEBCeC-25	WHYCeC1R	0.29098816	WW	HEBCeC-25	WHYCeC1R	0.0878954	WW
HEBCeC-30	WHYCeC1R	0.727841289	WW	HEBCeC-30	WHYCeC1R	0.333002722	WW	HEBCeC-30	WHYCeC1R	0.104722254	WW
HEBCeC-4	WHYCeC1R	0.863310283	WW	HEBCeC-4	WHYCeC1R	0.475326236	WW	HEBCeC-4	WHYCeC1R	0.255432773	WW
HEBCeC-5	WHYCeC1R	0.8727455	WW	HEBCeC-5	WHYCeC1R	0.455357377	WW	HEBCeC-5	WHYCeC1R	0.232953413	WW
HEBCeC-7	WHYCeC1R	0.841070115	WW	HEBCeC-7	WHYCeC1R	0.421662893	WW	HEBCeC-7	WHYCeC1R	0.171354682	WW
HEBCeC-8	WHYCeC1R	0.883222741	WW	HEBCeC-8	WHYCeC1R	0.488389502	WW	HEBCeC-8	WHYCeC1R	0.29577552	WW
SDQCeC1L	WHYCeC1R	0.657360452	WW	SDQCeC1L	WHYCeC1R	0.290515355	WW	SDQCeC1L	WHYCeC1R	0.101290925	WW
SDQCeC2L	WHYCeC1R	0.649681577	WW	SDQCeC2L	WHYCeC1R	0.272126147	WW	SDQCeC2L	WHYCeC1R	0.086058921	WW
SDQCeC3L	WHYCeC1R	0.681730049	WW	SDQCeC3L	WHYCeC1R	0.282759613	WW	SDQCeC3L	WHYCeC1R	0.085929185	WW
SDQCeC4L	WHYCeC1R	0.654696114	WW	SDQCeC4L	WHYCeC1R	0.252334817	WW	SDQCeC4L	WHYCeC1R	0.08295991	WW
SDQCeC8L	WHYCeC1R	0.710062796	WW	SDQCeC8L	WHYCeC1R	0.29456405	WW	SDQCeC8L	WHYCeC1R	0.091040018	WW
SDQCeC9L	WHYCeC1R	0.650844973	WW	SDQCeC9L	WHYCeC1R	0.280340999	WW	SDQCeC9L	WHYCeC1R	0.090121129	WW
CeC105	WHYCeC1R	0.880306939	WW	CeC105	WHYCeC1R	0.440231978	WW	CeC105	WHYCeC1R	0.153889778	WW
CeC166	WHYCeC1R	0.833355262	WW	CeC166	WHYCeC1R	0.320838478	WW	CeC166	WHYCeC1R	0.103457177	WW
CeC192	WHYCeC1R	0.770755279	WW	CeC192	WHYCeC1R	0.28693287	WW	CeC192	WHYCeC1R	0.089335844	WW
CeC198	WHYCeC1R	0.843338509	WW	CeC198	WHYCeC1R	0.364761507	WW	CeC198	WHYCeC1R	0.113695017	WW
CeC28	WHYCeC1R	0.861286534	WW	CeC28	WHYCeC1R	0.349649731	WW	CeC28	WHYCeC1R	0.106942243	WW
CeC38	WHYCeC1R	0.836934513	WW	CeC38	WHYCeC1R	0.379046061	WW	CeC38	WHYCeC1R	0.133846064	WW
CeC6	WHYCeC1R	0.821182985	WW	CeC6	WHYCeC1R	0.333794366	WW	CeC6	WHYCeC1R	0.105272622	WW
CeC67	WHYCeC1R	0.856592847	WW	CeC67	WHYCeC1R	0.375975091	WW	CeC67	WHYCeC1R	0.102873159	WW
CeC68	WHYCeC1R	0.885838652	WW	CeC68	WHYCeC1R	0.403122037	WW	CeC68	WHYCeC1R	0.116289796	WW
CeC89	WHYCeC1R	0.821895457	WW	CeC89	WHYCeC1R	0.361094385	WW	CeC89	WHYCeC1R	0.119147601	WW
WHYCeC1L	WHYCeC1R	0.499194218	WW	WHYCeC1L	WHYCeC1R	0.27885369	WW	WHYCeC1L	WHYCeC1R	0.111731725	WW
WHYCeC2L	WHYCeC1R	0.669924528	WW	WHYCeC2L	WHYCeC1R	0.332271947	WW	WHYCeC2L	WHYCeC1R	0.110770933	WW
WHYCeC3L	WHYCeC1R	0.607063397	WW	WHYCeC3L	WHYCeC1R	0.203447254	WW	WHYCeC3L	WHYCeC1R	0.081161516	WW
WHYCeC4L	WHYCeC1R	0.700316704	WW	WHYCeC4L	WHYCeC1R	0.356952165	WW	WHYCeC4L	WHYCeC1R	0.135432742	WW
WHYCeC5L	WHYCeC1R	0.691297815	WW	WHYCeC5L	WHYCeC1R	0.396204101	WW	WHYCeC5L	WHYCeC1R	0.12647953	WW
WHYCeC7L	WHYCeC1R	0.716306219	WW	WHYCeC7L	WHYCeC1R	0.381751691	WW	WHYCeC7L	WHYCeC1R	0.113381082	WW
CeC108	WHYCeC1R	0.896262917	WW	CeC108	WHYCeC1R	0.452943838	WW	CeC108	WHYCeC1R	0.143800278	WW
CeC112	WHYCeC1R	0.853774626	WW	CeC112	WHYCeC1R	0.332127007	WW	CeC112	WHYCeC1R	0.117720035	WW
CeC113	WHYCeC1R	0.865683062	WW	CeC113	WHYCeC1R	0.343905677	WW	CeC113	WHYCeC1R	0.110839267	WW
CeC123	WHYCeC1R	0.893232289	WW	CeC123	WHYCeC1R	0.39054045	WW	CeC123	WHYCeC1R	0.140265986	WW
CeC124	WHYCeC1R	0.930738605	WW	CeC124	WHYCeC1R	0.35942908	WW	CeC124	WHYCeC1R	0.142966088	WW
CeC149	WHYCeC1R	0.825298986	WW	CeC149	WHYCeC1R	0.365011839	WW	CeC149	WHYCeC1R	0.10938815	WW
CeC186	WHYCeC1R	0.813263318	WW	CeC186	WHYCeC1R	0.300187399	WW	CeC186	WHYCeC1R	0.093008805	WW
CeC41	WHYCeC1R	0.846881299	WW	CeC41	WHYCeC1R	0.311361643	WW	CeC41	WHYCeC1R	0.109275777	WW
CeC42	WHYCeC1R	0.859747605	WW	CeC42	WHYCeC1R	0.367764604	WW	CeC42	WHYCeC1R	0.126192709	WW
CeC51	WHYCeC1R	0.800683783	WW	CeC51	WHYCeC1R	0.30019995	WW	CeC51	WHYCeC1R	0.09700093	WW
CeC61	WHYCeC1R	0.875752163	WW	CeC61	WHYCeC1R	0.375089446	WW	CeC61	WHYCeC1R	0.112352406	WW
CeC66	WHYCeC1R	0.859525903	WW	CeC66	WHYCeC1R	0.3572725	WW	CeC66	WHYCeC1R	0.103099947	WW
CeC69	WHYCeC1R	0.906948355	WW	CeC69	WHYCeC1R	0.40935594	WW	CeC69	WHYCeC1R	0.13785221	WW
CeC70	WHYCeC1R	0.927674155	WW	CeC70	WHYCeC1R	0.356536011	WW	CeC70	WHYCeC1R	0.139278324	WW
CeC139	WHYCeC1R	0.844847153	WW	CeC139	WHYCeC1R	0.380567965	WW	CeC139	WHYCeC1R	0.120804974	WW
CeC161	WHYCeC1R	0.867164265	WW	CeC161	WHYCeC1R	0.402379396	WW	CeC161	WHYCeC1R	0.118759678	WW
CeC1	WHYCeC1R	0.885595361	WW	CeC1	WHYCeC1R	0.407608945	WW	CeC1	WHYCeC1R	0.131114961	WW
CeC200	WHYCeC1R	0.845438457	WW	CeC200	WHYCeC1R	0.319624273	WW	CeC200	WHYCeC1R	0.095679798	WW
CeC35	WHYCeC1R	0.861719789	WW	CeC35	WHYCeC1R	0.337455675	WW	CeC35	WHYCeC1R	0.106729815	WW
