Sample	Group	Genes Abundance	Sample	Group	genus Abundance	Sample	Group	Kos Abundance
PD70d_CeC8	WOW	19.18687522	PD70d_CeC8	WOW	5.478625226	PD70d_CeC8	WOW	9.833946364
CeC105	WW	19.19928435	CeC105	WW	6.043180028	CeC105	WW	9.877097422
CeC166	WW	19.95079146	CeC166	WW	5.835766674	CeC166	WW	9.846220453
CeC192	WW	19.86913508	CeC192	WW	5.450200622	CeC192	WW	9.884542795
CeC198	WW	18.2831175	CeC198	WW	5.463902811	CeC198	WW	9.875642031
CeC28	WW	19.21900726	CeC28	WW	5.956018603	CeC28	WW	9.889193721
CeC38	WW	19.87512485	CeC38	WW	6.084362842	CeC38	WW	9.898423257
CeC6	WW	19.81317098	CeC6	WW	6.235230501	CeC6	WW	9.850297492
CeC67	WW	19.7530624	CeC67	WW	6.075809626	CeC67	WW	9.864767788
CeC68	WW	19.15715531	CeC68	WW	6.093172831	CeC68	WW	9.872455609
CeC89	WW	19.8797448	CeC89	WW	6.158381859	CeC89	WW	9.884409126
SHCeC1	WOW	20.24578534	SHCeC1	WOW	6.01689891	SHCeC1	WOW	9.840542534
SHCeC12	WOW	20.29882621	SHCeC12	WOW	5.788657846	SHCeC12	WOW	9.832420137
SHCeC15	WOW	20.29610191	SHCeC15	WOW	5.978000061	SHCeC15	WOW	9.805181633
SHCeC16	WOW	20.83445899	SHCeC16	WOW	5.998231359	SHCeC16	WOW	9.818573037
SHCeC17	WOW	20.22954436	SHCeC17	WOW	5.750889031	SHCeC17	WOW	9.773490374
SHCeC18	WOW	20.12168529	SHCeC18	WOW	5.902767551	SHCeC18	WOW	9.793131272
SHCeC24	WOW	20.28463069	SHCeC24	WOW	5.896044546	SHCeC24	WOW	9.821170776
SHCeC26	WOW	20.72380305	SHCeC26	WOW	5.994605683	SHCeC26	WOW	9.818691197
SHCeC27	WOW	20.59387807	SHCeC27	WOW	5.891543977	SHCeC27	WOW	9.82326172
SHCeC28	WOW	20.17733839	SHCeC28	WOW	5.731316926	SHCeC28	WOW	9.837456265
SHCeC4	WOW	20.60217535	SHCeC4	WOW	6.012360992	SHCeC4	WOW	9.801645297
SHCeC7	WOW	19.74952086	SHCeC7	WOW	5.667852671	SHCeC7	WOW	9.785444541
MD70dCeC1	WOW	18.91487521	MD70dCeC1	WOW	5.246809923	MD70dCeC1	WOW	9.849283221
MD70dCeC2	WOW	18.80158072	MD70dCeC2	WOW	5.240769648	MD70dCeC2	WOW	9.913736466
MD70dCeC3	WOW	18.2637591	MD70dCeC3	WOW	5.453858045	MD70dCeC3	WOW	9.878190553
MD70dCeC4	WOW	18.8340044	MD70dCeC4	WOW	5.251613308	MD70dCeC4	WOW	9.892118664
MD70dCeC5	WOW	18.95905345	MD70dCeC5	WOW	5.271487394	MD70dCeC5	WOW	9.850574118
MD70dCeC6	WOW	18.20380282	MD70dCeC6	WOW	5.446458509	MD70dCeC6	WOW	9.873073628
WHYCeC1L	WW	19.73645717	WHYCeC1L	WW	4.169899484	WHYCeC1L	WW	9.658002481
WHYCeC2L	WW	19.55646396	WHYCeC2L	WW	4.332854562	WHYCeC2L	WW	9.711132786
WHYCeC3L	WW	20.54698874	WHYCeC3L	WW	5.204779906	WHYCeC3L	WW	9.741660373
WHYCeC4L	WW	18.91060562	WHYCeC4L	WW	3.726772202	WHYCeC4L	WW	9.626400984
WHYCeC5L	WW	18.69348931	WHYCeC5L	WW	3.576991831	WHYCeC5L	WW	9.671198345
WHYCeC7L	WW	19.19001012	WHYCeC7L	WW	4.112645178	WHYCeC7L	WW	9.703689389
CeC108	WW	19.19623545	CeC108	WW	6.189355736	CeC108	WW	9.894188899
CeC112	WW	18.80773386	CeC112	WW	5.931099645	CeC112	WW	9.882335036
CeC113	WW	18.74882955	CeC113	WW	5.778314841	CeC113	WW	9.834831132
CeC123	WW	18.45710137	CeC123	WW	6.141751062	CeC123	WW	9.882534913
CeC124	WW	16.7561905	CeC124	WW	5.505344391	CeC124	WW	9.861033402
CeC149	WW	19.58878742	CeC149	WW	6.16661875	CeC149	WW	9.892477722
CeC186	WW	19.19179552	CeC186	WW	5.628754122	CeC186	WW	9.855489159
CeC41	WW	19.22027227	CeC41	WW	6.049858614	CeC41	WW	9.907253309
CeC42	WW	18.9701426	CeC42	WW	6.069229852	CeC42	WW	9.925171462
CeC51	WW	19.38326092	CeC51	WW	6.047811197	CeC51	WW	9.889040982
