Sample ID	Assembly	Data production					
		Read  length (bp)	# of raw reads	 Raw data (Gb)	% Host DNA	# of  high quality reads	High quality data (Gb)
MD3d_CeC_7	MEGAHIT	150	64,502,152 	9.68 	77.79	13,506,064 	2.02 
MD3d_CeC_8	MEGAHIT	150	71,084,018 	10.66 	65.91	22,938,908 	3.43 
MD42d_CeC1	MEGAHIT	150	53,239,232 	7.99 	47.13	26,845,566 	4.01 
MD42d_CeC2	MEGAHIT	150	64,331,844 	9.65 	75.92	14,703,090 	2.20 
MD42d_CeC3	MEGAHIT	150	47,195,658 	7.08 	29.24	32,016,434 	4.78 
MD42d_CeC4	MEGAHIT	150	59,977,678 	9.00 	52.57	27,138,692 	4.06 
MD42d_CeC5	MEGAHIT	150	54,085,356 	8.11 	28.74	36,892,960 	5.50 
MD42d_CeC6	MEGAHIT	150	58,852,164 	8.83 	42.11	32,662,788 	4.88 
MD42d_CeC7	MEGAHIT	150	58,899,732 	8.83 	38.94	34,584,074 	5.17 
MD42d_CeC8	MEGAHIT	150	63,244,954 	9.49 	66.36	20,389,794 	3.05 
MD70dCeC1	MEGAHIT	150	50,094,856 	7.51 	33.49	31,837,164 	4.76 
MD70d_CeC1	MEGAHIT	150	67,886,624 	10.18 	63.16	23,885,358 	3.57 
MD70dCeC2	MEGAHIT	150	58,650,816 	8.80 	73.58	14,794,702 	2.21 
MD70d_CeC2	MEGAHIT	150	62,528,178 	9.38 	51.9	28,817,136 	4.31 
MD70dCeC3	MEGAHIT	150	65,374,310 	9.81 	33.91	41,280,894 	6.17 
MD70d_CeC3	MEGAHIT	150	60,469,696 	9.07 	64.4	20,595,618 	3.08 
MD70dCeC4	MEGAHIT	150	64,272,620 	9.64 	74.22	15,668,950 	2.34 
MD70d_CeC4	MEGAHIT	150	63,892,598 	9.58 	52.96	28,757,634 	4.30 
MD70dCeC5	MEGAHIT	150	177,533,572 	26.63 	64.91	45,927,346 	6.85 
MD70d_CeC5	MEGAHIT	150	184,807,996 	27.72 	80.82	26,334,548 	3.93 
MD70dCeC6	MEGAHIT	150	184,827,474 	27.72 	86.59	18,523,578 	2.76 
MD70d_CeC6	MEGAHIT	150	179,146,032 	26.87 	75.86	32,686,962 	4.88 
MD70d_CeC7	MEGAHIT	150	202,556,126 	30.38 	66.33	49,734,294 	7.42 
MD70d_CeC8	MEGAHIT	150	185,538,522 	27.83 	87.46	16,741,116 	2.50 
MD70dCoC1	MEGAHIT	150	176,360,394 	26.45 	99.44	735,390 	0.11 
MD70dCoC2	MEGAHIT	150	162,019,804 	24.30 	99.74	324,758 	0.05 
MD70dCoC3	MEGAHIT	150	172,092,354 	25.81 	93.55	8,646,744 	1.29 
MD70dCoC4	MEGAHIT	150	176,722,536 	26.51 	95.2	6,476,736 	0.96 
MD70dCoC5	MEGAHIT	150	173,383,748 	26.01 	99.3	944,694 	0.14 
MD70dCoC7	MEGAHIT	150	151,039,056 	22.66 	93.01	8,510,684 	1.27 
MD70dduC1	MEGAHIT	150	141,525,264 	21.23 	99.67	392,908 	0.06 
MD70dduC2	MEGAHIT	150	141,274,114 	21.19 	99.74	287,964 	0.04 
MD70dduC3	MEGAHIT	150	144,163,728 	21.62 	99.72	333,150 	0.05 
MD70dduC4	MEGAHIT	150	170,984,982 	25.65 	99.63	536,922 	0.08 
MD70dduC5	MEGAHIT	150	140,991,934 	21.15 	99.7	354,072 	0.05 
MD70dduC7	MEGAHIT	150	141,184,348 	21.18 	99.7	354,380 	0.05 
MD70dIlC1	MEGAHIT	150	147,453,874 	22.12 	99.62	453,608 	0.07 
MD70dIlC2	MEGAHIT	150	143,572,256 	21.54 	99.32	694,684 	0.10 
MD70dIlC3	MEGAHIT	150	145,693,490 	21.85 	99.7	352,708 	0.05 
MD70dIlC4	MEGAHIT	150	143,245,482 	21.49 	99.28	797,854 	0.12 
MD70dIlC5	MEGAHIT	150	143,542,870 	21.53 	99.66	369,644 	0.05 
MD70dIlC7	MEGAHIT	150	147,852,490 	22.18 	99.74	294,368 	0.04 
MD70djeC1	MEGAHIT	150	140,364,448 	21.05 	99.72	316,026 	0.05 
MD70djeC2	MEGAHIT	150	137,851,686 	20.68 	99.74	286,764 	0.04 
MD70djeC3	MEGAHIT	150	137,393,486 	20.61 	99.73	295,494 	0.04 
MD70djeC4	MEGAHIT	150	140,315,586 	21.05 	99.72	313,992 	0.05 
MD70djeC5	MEGAHIT	150	148,633,094 	22.29 	99.73	316,260 	0.05 
MD70djeC6	MEGAHIT	150	136,468,680 	20.47 	99.73	288,130 	0.04 
MD7d_CeC_1	MEGAHIT	150	60,802,510 	9.12 	78.07	12,703,778 	1.90 
MD7d_CeC_2	MEGAHIT	150	63,179,786 	9.48 	80.52	11,735,840 	1.75 
MD7d_CeC_3	MEGAHIT	150	82,666,890 	12.40 	63.6	28,696,116 	4.29 
MD7d_CeC_4	MEGAHIT	150	42,813,810 	6.42 	67.84	13,116,296 	1.96 
MD7d_CeC_5	MEGAHIT	150	69,310,198 	10.40 	71.89	18,530,450 	2.77 
MD7d_CeC_6	MEGAHIT	150	48,834,436 	7.33 	48.47	24,032,732 	3.59 
MD7d_CeC_7	MEGAHIT	150	64,405,274 	9.66 	77.18	13,533,232 	2.01 
MD7d_CeC_8	MEGAHIT	150	72,570,336 	10.89 	73.91	18,021,028 	2.69 
PD14d_CeC_1	MEGAHIT	150	49,851,846 	7.48 	69.17	14,644,380 	2.19 
PD14d_CeC_2	MEGAHIT	150	50,471,866 	7.57 	74.33	12,372,724 	1.85 
PD14d_CeC_3	MEGAHIT	150	45,714,916 	6.86 	76.72	10,157,134 	1.52 
PD14d_CeC_4	MEGAHIT	150	44,104,512 	6.62 	83.55	6,870,194 	1.03 
PD14d_CeC_5	MEGAHIT	150	46,373,574 	6.96 	58.9	18,226,504 	2.73 
PD14d_CeC_6	MEGAHIT	150	41,163,230 	6.17 	67.21	12,780,236 	1.91 
PD14d_CeC_7	MEGAHIT	150	42,897,000 	6.43 	71.43	11,652,374 	1.74 
PD14d_CeC_8	MEGAHIT	150	58,859,160 	8.83 	68.06	17,948,554 	2.68 
PD3d_CeC_1	MEGAHIT	150	51,963,416 	7.79 	99.77	117,484 	0.02 
PD3d_CeC_2	MEGAHIT	150	59,055,714 	8.86 	92.43	4,219,184 	0.63 
PD3d_CeC_3	MEGAHIT	150	51,324,404 	7.70 	99.82	90,432 	0.01 
PD3d_CeC_4	MEGAHIT	150	42,473,680 	6.37 	99.85	60,664 	0.01 
PD3d_CeC_5	MEGAHIT	150	46,275,190 	6.94 	99.88	53,302 	0.01 
PD3d_CeC_6	MEGAHIT	150	52,040,724 	7.81 	99.82	91,512 	0.01 
PD3d_CeC_7	MEGAHIT	150	42,111,126 	6.32 	98.98	410,436 	0.06 
PD3d_CeC_8	MEGAHIT	150	49,832,864 	7.47 	99.78	104,316 	0.02 
PD42d_CeC1	MEGAHIT	150	44,437,224 	6.67 	19.63	34,554,408 	5.17 
PD42d_CeC2	MEGAHIT	150	53,163,288 	7.97 	32.33	34,462,748 	5.15 
PD42d_CeC3	MEGAHIT	150	46,254,790 	6.94 	67.29	14,412,924 	2.15 
PD42d_CeC4	MEGAHIT	150	49,718,068 	7.46 	28.26	34,423,322 	5.15 
PD42d_CeC5	MEGAHIT	150	48,743,750 	7.31 	47.33	24,722,656 	3.70 
PD42d_CeC6	MEGAHIT	150	47,787,862 	7.17 	26.19	34,078,182 	5.10 
PD42d_CeC7	MEGAHIT	150	53,838,364 	8.08 	25.3	38,894,596 	5.82 
PD42d_CeC8	MEGAHIT	150	44,336,924 	6.65 	41.26	24,862,226 	3.71 
PD70dCeC1	MEGAHIT	150	46,970,300 	7.05 	16.81	37,884,530 	5.67 
PD70d_CeC1	MEGAHIT	150	52,440,116 	7.87 	9.87	45,824,938 	6.85 
PD70dCeC2	MEGAHIT	150	63,334,502 	9.50 	7.7	57,020,360 	8.53 
PD70d_CeC2	MEGAHIT	150	44,527,050 	6.68 	21.58	33,753,666 	5.05 
PD70dCeC3	MEGAHIT	150	53,207,184 	7.98 	17.36	42,593,034 	6.37 
PD70d_CeC3	MEGAHIT	150	67,771,754 	10.17 	11.64	58,129,898 	8.69 
PD70dCeC4	MEGAHIT	150	55,645,256 	8.35 	7.23	50,177,876 	7.50 
PD70d_CeC4	MEGAHIT	150	47,442,202 	7.12 	21.69	35,823,202 	5.36 
PD70dCeC5	MEGAHIT	150	184,907,962 	27.74 	58.65	62,418,696 	9.31 
PD70d_CeC5	MEGAHIT	150	187,278,420 	28.09 	54.94	69,513,268 	10.37 
PD70dCeC6	MEGAHIT	150	194,479,718 	29.17 	53.64	73,082,028 	10.90 
PD70d_CeC6	MEGAHIT	150	180,180,322 	27.03 	53.46	68,155,850 	10.17 
PD70d_CeC7	MEGAHIT	150	171,615,446 	25.74 	55.49	62,422,292 	9.31 
PD70d_CeC8	MEGAHIT	150	168,748,510 	25.31 	59.88	55,648,312 	8.30 
PD70dCoC1	MEGAHIT	150	179,238,752 	26.89 	85.85	20,372,976 	3.04 
PD70dCoC2	MEGAHIT	150	187,050,844 	28.06 	99.79	301,812 	0.04 
PD70dCoC3	MEGAHIT	150	207,300,156 	31.10 	97.63	3,447,146 	0.51 
PD70dCoC4	MEGAHIT	150	190,564,150 	28.58 	98.74	1,903,968 	0.28 
PD70dCoC5	MEGAHIT	150	191,342,632 	28.70 	87.39	18,275,874 	2.72 
PD70dCoC6	MEGAHIT	150	179,273,734 	26.89 	99.76	334,522 	0.05 
PD70dduC1	MEGAHIT	150	139,886,072 	20.98 	99.97	37,634 	0.01 
PD70dduC2	MEGAHIT	150	143,676,112 	21.55 	99.97	44,518 	0.01 
PD70dduC3	MEGAHIT	150	141,104,924 	21.17 	99.96	46,810 	0.01 
PD70dduC4	MEGAHIT	150	146,581,270 	21.99 	99.96	49,336 	0.01 
PD70dduC5	MEGAHIT	150	143,755,580 	21.56 	99.97	45,500 	0.01 
PD70dduC6	MEGAHIT	150	139,066,120 	20.86 	99.97	43,564 	0.01 
PD70dIlC1	MEGAHIT	150	137,695,956 	20.65 	99.73	278,612 	0.04 
PD70dIlC2	MEGAHIT	150	141,697,104 	21.25 	99.95	58,198 	0.01 
PD70dIlC3	MEGAHIT	150	142,305,622 	21.35 	98.96	1,114,344 	0.16 
PD70dIlC4	MEGAHIT	150	136,352,996 	20.45 	99.9	98,930 	0.01 
PD70dIlC5	MEGAHIT	150	137,735,638 	20.66 	99.69	329,278 	0.05 
PD70dIlC6	MEGAHIT	150	143,197,682 	21.48 	99.95	60,384 	0.01 
PD70djeC1	MEGAHIT	150	143,495,280 	21.52 	99.97	42,782 	0.01 
PD70djeC2	MEGAHIT	150	143,278,610 	21.49 	99.94	74,704 	0.01 
PD70djeC3	MEGAHIT	150	145,414,626 	21.81 	99.96	48,640 	0.01 
PD70djeC4	MEGAHIT	150	143,294,112 	21.49 	99.95	58,806 	0.01 
PD70djeC5	MEGAHIT	150	144,473,428 	21.67 	99.97	45,106 	0.01 
PD70djeC6	MEGAHIT	150	139,890,560 	20.98 	99.95	57,648 	0.01 
PD7d_CeC_1	MEGAHIT	150	48,789,734 	7.32 	75.43	11,390,684 	1.70 
PD7d_CeC_2	MEGAHIT	150	49,905,704 	7.49 	71.06	13,772,238 	2.06 
PD7d_CeC_3	MEGAHIT	150	45,629,492 	6.84 	84.76	6,515,760 	0.97 
PD7d_CeC_4	MEGAHIT	150	44,619,198 	6.69 	33.04	28,692,616 	4.29 
PD7d_CeC_5	MEGAHIT	150	50,374,720 	7.56 	38.59	29,710,964 	4.44 
PD7d_CeC_6	MEGAHIT	150	58,466,400 	8.77 	23.18	43,366,060 	6.48 
PD7d_CeC_7	MEGAHIT	150	52,225,042 	7.83 	71.69	14,034,434 	2.10 
PD7d_CeC_8	MEGAHIT	150	50,187,368 	7.53 	28.91	34,100,960 	5.10 
QDCoC1	MEGAHIT	150	137,475,316 	20.62 	98.89	1,081,928 	0.16 
QDCoC14	MEGAHIT	150	152,785,384 	22.92 	98.62	1,594,542 	0.24 
QDCoC15	MEGAHIT	150	156,222,376 	23.43 	99.11	1,018,780 	0.15 
QDCoC19	MEGAHIT	150	139,287,710 	20.89 	99.78	238,708 	0.03 
QDCoC2	MEGAHIT	150	135,060,276 	20.26 	99.02	1,005,470 	0.15 
QDCoC22	MEGAHIT	150	157,538,912 	23.63 	98.46	1,944,682 	0.29 
QDCoC29	MEGAHIT	150	150,465,036 	22.57 	99.71	336,332 	0.05 
QDCoC3	MEGAHIT	150	159,327,210 	23.90 	99.87	162,858 	0.02 
QDCoC30	MEGAHIT	150	139,338,516 	20.90 	99.8	226,882 	0.03 
QDCoC31	MEGAHIT	150	143,916,050 	21.59 	99.91	97,914 	0.01 
QDCoC35	MEGAHIT	150	168,693,626 	25.30 	99.82	249,832 	0.04 
SDCeC1	MEGAHIT	150	140,187,346 	21.03 	58.66	45,663,472 	6.80 
SDCeC2	MEGAHIT	150	148,388,612 	22.26 	66.51	41,476,196 	6.18 
SDCeC3	MEGAHIT	150	136,417,202 	20.46 	67.89	33,044,818 	4.92 
SDCeC4	MEGAHIT	150	142,179,790 	21.33 	80.53	21,095,640 	3.14 
SDCeC5	MEGAHIT	150	156,317,202 	23.45 	57.73	51,053,384 	7.61 
SDCeC6	MEGAHIT	150	143,303,894 	21.50 	68.62	34,065,544 	5.07 
SDQCeC10L	MEGAHIT	150	89,777,050 	13.47 	61.64	32,077,086 	4.79 
SDQCeC11L	MEGAHIT	150	91,891,520 	13.78 	97.31	2,294,456 	0.34 
SDQCeC1L	MEGAHIT	150	142,583,554 	21.39 	15.48	98,666,768 	14.74 
SDQCeC1R	MEGAHIT	150	97,584,800 	14.64 	9.95	83,502,756 	12.47 
SDQCeC2L	MEGAHIT	150	140,473,054 	21.07 	67.77	34,600,766 	5.15 
SDQCeC3L	MEGAHIT	150	150,041,804 	22.51 	47	62,043,116 	9.25 
SDQCeC4L	MEGAHIT	150	175,882,498 	26.38 	16.49	118,982,582 	17.77 
SDQCeC4R	MEGAHIT	150	96,876,272 	14.53 	35.31	58,939,796 	8.80 
SDQCeC5L	MEGAHIT	150	99,602,674 	14.94 	92.67	6,760,476 	1.01 
SDQCeC7R	MEGAHIT	150	103,183,292 	15.48 	92.46	7,206,400 	1.08 
SDQCeC8L	MEGAHIT	150	174,085,034 	26.11 	72.3	38,152,550 	5.68 
SDQCeC8R	MEGAHIT	150	90,368,676 	13.56 	66.01	28,695,322 	4.29 
SDQCeC9L	MEGAHIT	150	165,498,104 	24.82 	52.22	66,021,004 	9.84 
