Total of 375 samples information			
Sample ID	location	Breeds	Intestines
PD14d_CeC_6	Zhejiang	Peking ducks	Cecum
PD14d_CeC_7	Zhejiang	Peking ducks	Cecum
PD14d_CeC_8	Zhejiang	Peking ducks	Cecum
PD3d_CeC_1	Zhejiang	Peking ducks	Cecum
PD3d_CeC_2	Zhejiang	Peking ducks	Cecum
PD3d_CeC_3	Zhejiang	Peking ducks	Cecum
PD3d_CeC_4	Zhejiang	Peking ducks	Cecum
PD3d_CeC_5	Zhejiang	Peking ducks	Cecum
PD3d_CeC_6	Zhejiang	Peking ducks	Cecum
PD3d_CeC_7	Zhejiang	Peking ducks	Cecum
PD3d_CeC_8	Zhejiang	Peking ducks	Cecum
PD42d_CeC1	Zhejiang	Peking ducks	Cecum
PD42d_CeC2	Zhejiang	Peking ducks	Cecum
PD42d_CeC3	Zhejiang	Peking ducks	Cecum
PD42d_CeC4	Zhejiang	Peking ducks	Cecum
PD42d_CeC5	Zhejiang	Peking ducks	Cecum
PD42d_CeC6	Zhejiang	Peking ducks	Cecum
PD42d_CeC7	Zhejiang	Peking ducks	Cecum
PD42d_CeC8	Zhejiang	Peking ducks	Cecum
PD70dCeC1	Zhejiang	Peking ducks	Cecum
PD70d_CeC1	Zhejiang	Peking ducks	Cecum
PD70dCeC2	Zhejiang	Peking ducks	Cecum
PD70d_CeC2	Zhejiang	Peking ducks	Cecum
PD70dCeC3	Zhejiang	Peking ducks	Cecum
PD70d_CeC3	Zhejiang	Peking ducks	Cecum
PD70dCeC4	Zhejiang	Peking ducks	Cecum
PD70d_CeC4	Zhejiang	Peking ducks	Cecum
PD70dCeC5	Zhejiang	Peking ducks	Cecum
PD70d_CeC5	Zhejiang	Peking ducks	Cecum
PD70dCeC6	Zhejiang	Peking ducks	Cecum
PD70d_CeC6	Zhejiang	Peking ducks	Cecum
PD70d_CeC7	Zhejiang	Peking ducks	Cecum
PD70d_CeC8	Zhejiang	Peking ducks	Cecum
PD70dCoC1	Zhejiang	Peking ducks	Colorectum
PD70dCoC2	Zhejiang	Peking ducks	Colorectum
PD70dCoC3	Zhejiang	Peking ducks	Colorectum
PD70dCoC4	Zhejiang	Peking ducks	Colorectum
PD70dCoC5	Zhejiang	Peking ducks	Colorectum
PD70dCoC6	Zhejiang	Peking ducks	Colorectum
PD70dduC1	Zhejiang	Peking ducks	Duodenum
PD70dduC2	Zhejiang	Peking ducks	Duodenum
PD70dduC3	Zhejiang	Peking ducks	Duodenum
PD70dduC4	Zhejiang	Peking ducks	Duodenum
PD70dduC5	Zhejiang	Peking ducks	Duodenum
PD70dduC6	Zhejiang	Peking ducks	Duodenum
PD70dIlC1	Zhejiang	Peking ducks	Ileum
PD70dIlC2	Zhejiang	Peking ducks	Ileum
PD70dIlC3	Zhejiang	Peking ducks	Ileum
PD70dIlC4	Zhejiang	Peking ducks	Ileum
PD70dIlC5	Zhejiang	Peking ducks	Ileum
PD70dIlC6	Zhejiang	Peking ducks	Ileum
PD70djeC1	Zhejiang	Peking ducks	Jejunum
PD70djeC2	Zhejiang	Peking ducks	Jejunum
PD70djeC3	Zhejiang	Peking ducks	Jejunum
PD70djeC4	Zhejiang	Peking ducks	Jejunum
PD70djeC5	Zhejiang	Peking ducks	Jejunum
PD70djeC6	Zhejiang	Peking ducks	Jejunum
PD7d_CeC_1	Zhejiang	Peking ducks	Cecum
PD7d_CeC_2	Zhejiang	Peking ducks	Cecum
PD7d_CeC_3	Zhejiang	Peking ducks	Cecum
PD7d_CeC_4	Zhejiang	Peking ducks	Cecum
PD7d_CeC_5	Zhejiang	Peking ducks	Cecum
PD7d_CeC_6	Zhejiang	Peking ducks	Cecum
PD7d_CeC_7	Zhejiang	Peking ducks	Cecum
PD7d_CeC_8	Zhejiang	Peking ducks	Cecum
SDQCeC10L	Zhejiang	Partridge ducks	Cecum
SDQCeC11L	Zhejiang	Partridge ducks	Cecum
SDQCeC1L	Zhejiang	Partridge ducks	Cecum
SDQCeC1R	Zhejiang	Partridge ducks	Cecum
SDQCeC2L	Zhejiang	Partridge ducks	Cecum
SDQCeC3L	Zhejiang	Partridge ducks	Cecum
SDQCeC4L	Zhejiang	Partridge ducks	Cecum
SDQCeC4R	Zhejiang	Partridge ducks	Cecum
SDQCeC5L	Zhejiang	Partridge ducks	Cecum
SDQCeC7R	Zhejiang	Partridge ducks	Cecum
SDQCeC8L	Zhejiang	Partridge ducks	Cecum
SDQCeC8R	Zhejiang	Partridge ducks	Cecum
SDQCeC9L	Zhejiang	Partridge ducks	Cecum
SDQCeC9R	Zhejiang	Partridge ducks	Cecum
