sample1	sample2	Gene Abundance	Group	sample1	sample2	Genus Abundance	Group	sample1	sample2	Kos Abundance	Group
MD3d_CeC_5	MD3d_CeC_7	0.477937695	D03	MD3d_CeC_5	MD3d_CeC_7	0.371156323	D03	MD3d_CeC_5	MD3d_CeC_7	0.105548938	D03
MD3d_CeC_6	MD3d_CeC_7	0.224386263	D03	MD3d_CeC_6	MD3d_CeC_7	0.089919202	D03	MD3d_CeC_6	MD3d_CeC_7	0.064696065	D03
MD3d_CeC_8	MD3d_CeC_7	0.440578307	D03	MD3d_CeC_8	MD3d_CeC_7	0.351210854	D03	MD3d_CeC_8	MD3d_CeC_7	0.109178645	D03
MD3d_CeC_1	MD3d_CeC_8	0.361231055	D03	MD3d_CeC_1	MD3d_CeC_8	0.209211851	D03	MD3d_CeC_1	MD3d_CeC_8	0.084239871	D03
MD3d_CeC_2	MD3d_CeC_8	0.375824235	D03	MD3d_CeC_2	MD3d_CeC_8	0.28262949	D03	MD3d_CeC_2	MD3d_CeC_8	0.087297628	D03
MD3d_CeC_3	MD3d_CeC_8	0.438351201	D03	MD3d_CeC_3	MD3d_CeC_8	0.34227773	D03	MD3d_CeC_3	MD3d_CeC_8	0.113650245	D03
MD3d_CeC_4	MD3d_CeC_8	0.060766211	D03	MD3d_CeC_4	MD3d_CeC_8	0.007425138	D03	MD3d_CeC_4	MD3d_CeC_8	0.022558797	D03
MD3d_CeC_5	MD3d_CeC_8	0.367144507	D03	MD3d_CeC_5	MD3d_CeC_8	0.225472298	D03	MD3d_CeC_5	MD3d_CeC_8	0.082349766	D03
MD3d_CeC_6	MD3d_CeC_8	0.380604056	D03	MD3d_CeC_6	MD3d_CeC_8	0.291298213	D03	MD3d_CeC_6	MD3d_CeC_8	0.086459177	D03
MD3d_CeC_7	MD3d_CeC_8	0.440578307	D03	MD3d_CeC_7	MD3d_CeC_8	0.351210854	D03	MD3d_CeC_7	MD3d_CeC_8	0.109178645	D03
MD7d_CeC_2	MD7d_CeC_1	0.313686792	D07	MD7d_CeC_2	MD7d_CeC_1	0.121755391	D07	MD7d_CeC_2	MD7d_CeC_1	0.095597376	D07
MD7d_CeC_3	MD7d_CeC_1	0.298818968	D07	MD7d_CeC_3	MD7d_CeC_1	0.171304513	D07	MD7d_CeC_3	MD7d_CeC_1	0.099226097	D07
MD7d_CeC_4	MD7d_CeC_1	0.318254777	D07	MD7d_CeC_4	MD7d_CeC_1	0.217898261	D07	MD7d_CeC_4	MD7d_CeC_1	0.113327096	D07
MD7d_CeC_5	MD7d_CeC_1	0.348732783	D07	MD7d_CeC_5	MD7d_CeC_1	0.271227391	D07	MD7d_CeC_5	MD7d_CeC_1	0.125554994	D07
MD7d_CeC_6	MD7d_CeC_1	0.306323852	D07	MD7d_CeC_6	MD7d_CeC_1	0.152669018	D07	MD7d_CeC_6	MD7d_CeC_1	0.100413207	D07
MD7d_CeC_7	MD7d_CeC_1	0.311095377	D07	MD7d_CeC_7	MD7d_CeC_1	0.117641302	D07	MD7d_CeC_7	MD7d_CeC_1	0.09440168	D07
MD7d_CeC_8	MD7d_CeC_1	0.069911125	D07	MD7d_CeC_8	MD7d_CeC_1	0.012099519	D07	MD7d_CeC_8	MD7d_CeC_1	0.026301165	D07
MD7d_CeC_1	MD7d_CeC_2	0.313686792	D07	MD7d_CeC_1	MD7d_CeC_2	0.121755391	D07	MD7d_CeC_1	MD7d_CeC_2	0.095597376	D07
MD7d_CeC_3	MD7d_CeC_2	0.353156007	D07	MD7d_CeC_3	MD7d_CeC_2	0.222797273	D07	MD7d_CeC_3	MD7d_CeC_2	0.142070813	D07
MD7d_CeC_4	MD7d_CeC_2	0.3733686	D07	MD7d_CeC_4	MD7d_CeC_2	0.259128333	D07	MD7d_CeC_4	MD7d_CeC_2	0.156746104	D07
MD7d_CeC_5	MD7d_CeC_2	0.417349573	D07	MD7d_CeC_5	MD7d_CeC_2	0.30748786	D07	MD7d_CeC_5	MD7d_CeC_2	0.167134179	D07
MD7d_CeC_6	MD7d_CeC_2	0.36731439	D07	MD7d_CeC_6	MD7d_CeC_2	0.224231911	D07	MD7d_CeC_6	MD7d_CeC_2	0.141351119	D07
